id_inscripcion,matricula,codigo_materia,nombre_materia,creditos,profesor,horario,aula,semestre,año
1,2024001,BD301,Bases de Datos Avanzadas,8,Dr. Gómez,Lun-Mie 10:00-12:00,A-201,2024-2,2024
2,2024001,PROG401,Programación Distribuida,6,Dra. Sánchez,Mar-Jue 14:00-16:00,B-105,2024-2,2024
3,2024001,ALG301,Algoritmos y Complejidad,8,Dr. Morales,Lun-Mie 16:00-18:00,C-301,2024-2,2024
4,2024002,DW201,Data Warehousing,8,Dra. Fernández,Mar-Jue 10:00-12:00,A-105,2024-2,2024
5,2024002,SQL301,SQL Avanzado,6,Dr. Castro,Vie 09:00-13:00,B-202,2024-2,2024
6,2024002,BI201,Business Intelligence,6,Dra. Ruiz,Lun-Mie 14:00-16:00,A-301,2024-2,2024
7,2024003,WEB401,Desarrollo Web Full Stack,8,Dr. Vargas,Mar-Jue 16:00-18:00,C-105,2024-2,2024
8,2024003,BD301,Bases de Datos Avanzadas,8,Dr. Gómez,Lun-Mie 10:00-12:00,A-201,2024-2,2024
9,2024003,CLOUD301,Cloud Computing,6,Dra. Mendoza,Vie 14:00-18:00,B-301,2024-2,2024
10,2024004,PYTH101,Introducción a Python,6,Dr. Silva,Lun-Mie 08:00-10:00,A-101,2024-2,2024
11,2024004,MAT101,Matemáticas Discretas,8,Dra. López,Mar-Jue 08:00-10:00,C-201,2024-2,2024
12,2024004,FUND101,Fundamentos de Programación,8,Dr. Ortiz,Vie 08:00-12:00,B-101,2024-2,2024
13,2024005,EST301,Estructuras de Datos,8,Dra. Ramírez,Lun-Mie 12:00-14:00,A-205,2024-2,2024
14,2024005,PROG401,Programación Distribuida,6,Dra. Sánchez,Mar-Jue 14:00-16:00,B-105,2024-2,2024
15,2024006,DW201,Data Warehousing,8,Dra. Fernández,Mar-Jue 10:00-12:00,A-105,2024-2,2024
16,2024006,PYTH201,Python para Análisis de Datos,6,Dr. Torres,Vie 10:00-14:00,C-102,2024-2,2024
17,2024008,BI201,Business Intelligence,6,Dra. Ruiz,Lun-Mie 14:00-16:00,A-301,2024-2,2024
18,2024008,SQL301,SQL Avanzado,6,Dr. Castro,Vie 09:00-13:00,B-202,2024-2,2024
